,img,boil,pan
0,ID8v5JwyJvLTixTF.png,0,1
1,IDN3128K0hRxvlH.png,5,0
2,ID0AGL1m6y7.png,0,2
3,IDF91Bgh.png,0,1
4,ID2ThHZmaO3bW.png,0,1
5,IDq3aLQL82mZ9xxA.png,0,1
6,IDhoJE8jW2ZX.png,1,0
7,IDtKEEu.png,0,1
8,ID4EJXAP2Aam.png,0,1
9,IDsQo3HhORE4Rr3.png,0,1
10,IDLwzQqfgb89eyD.png,0,2
11,IDCP2nBmAACXefN.png,3,8
12,IDXNntIwQR3e41.png,0,1
13,IDdZQjV0hyOTdukmF.png,1,0
14,IDk9te2QR.png,0,1
15,IDlQn7qEzW3T5tM.png,0,2
16,IDou6Kvmaqj8M.png,0,1
17,IDGvR1AWhn.png,0,1
18,IDIaIx3.png,0,1
19,IDnDocH4j66X827bg.png,0,4
20,IDCiQ29vjH.png,0,1
21,IDE4yRJ.png,0,4
22,ID8vZOSc4st5szj.png,0,2
23,IDPEmPw9O82sbn1.png,0,6
24,IDQFNudO5g.png,0,2
25,IDDdX5XDTWO.png,0,1
26,IDtHUhmbHy.png,0,1
27,IDVLbTVx.png,0,1
28,IDzohsRjCZJzCFND.png,0,1
29,IDAoZuR6VVknW.png,0,2
30,ID0YWEiDPjmAfA50E.png,1,0
31,IDEdXWeC.png,0,1
32,IDDZsyNHMRj.png,0,2
33,IDuDUzcBjDUZTc.png,0,2
34,ID66HAzclmqcSLv5d.png,1,0
35,ID7TUH5iOhK.png,0,3
36,IDydmvBdIj.png,1,0
37,IDnsGyJQg819ECn.png,1,0
38,IDMBxmmo1Gcli1sn4.png,0,5
39,IDC1FJMi.png,0,4
40,ID9Nt0KJVjk5.png,0,4
41,IDQMye68BFuk7.png,1,4
42,IDcY6CE1fsR5.png,0,1
43,IDOOpgWE.png,2,0
44,IDtIdcpNWe4it.png,0,1
45,IDUNKJ8j4mQ.png,2,0
46,IDC9OBTOUOI.png,0,2
47,IDwnMWzym2fzbmYw.png,0,5
48,ID6g6IV.png,0,2
49,IDCsQJqf3RM.png,0,2
50,IDCYmSiT.png,2,0
51,IDKi2OVyn.png,0,4
52,ID5NNBSdjpQCE.png,0,1
53,IDoSDTXymqfxQd.png,0,3
54,IDFEBID.png,0,1
55,IDv13aog5mnlDC.png,0,3
56,ID77AiIt.png,0,3
57,ID3VclOWs8.png,0,1
58,IDVnm6xu1YC.png,0,1
59,IDdewVlmi.png,2,4
60,ID1XtPPo2lthuwO.png,0,1
61,IDaqvOmzQ.png,0,2
62,IDwpyvYRrs0cO.png,0,1
63,ID4zFQMdn0ckL.png,0,4
64,IDkDF2gOih.png,0,1
65,IDjsih35f.png,0,1
66,IDkcDw4QVAKcZILo.png,0,1
67,IDtWBNxeioDGjwvP.png,12,4
68,IDNrajKiOLBDKw.png,1,0
