,img,boil,pan
0,ID6qS46.png,0,1
1,IDgJMS4EK1BELpL6c.png,0,2
2,ID5qsae0RMP6.png,1,10
3,IDTruCZeluoy.png,0,1
4,ID1cIqOepfDfl.png,0,1
5,ID9blT2tvC7FV5fx.png,2,0
6,ID1F5xvmt.png,0,2
7,IDYLiZ0nKfG.png,0,1
8,ID7y2d3chEZt.png,0,3
9,IDKjoRWg67s0XrM.png,0,1
10,ID1wSIvOLo2E7kki.png,0,3
11,IDefKd39.png,0,2
12,ID0m0ZliU0PgwB.png,0,3
13,IDNtcJCzJV.png,1,0
14,IDyV2hRcH6Z3.png,2,0
15,IDMoRx3u3.png,0,1
16,IDGvR1AWhn.png,0,1
17,ID6DBV6NeFdL.png,0,1
18,IDphO3Vk4EPPI1QQo.png,0,1
19,ID6D4gCVRosZF0RaX.png,0,2
20,IDyz0bu7fLPzrIyRS.png,0,4
21,IDDyEymZ2D.png,3,0
22,ID1BXZkctiPb.png,0,1
23,ID9srqnblPwzwwg.png,0,4
24,IDGxHVSFd4Zzy3XZ9.png,0,3
25,IDXMSuHstZ1vm2q1.png,0,1
26,IDb2ByyZmQ6.png,1,0
27,IDRTjXxmPRzC.png,0,2
28,IDk0ZTA.png,0,2
29,IDUbn7n.png,0,1
30,ID83d1bZsdjQ7Dj5.png,0,1
31,IDdVlhAjGxoIoje.png,2,0
32,IDWwkwa.png,0,3
33,IDH80tQ.png,0,2
34,IDaQTzZb.png,3,0
35,IDfyUGFtW9n.png,0,2
36,IDIFpysQ.png,2,0
37,IDKHqqEg.png,0,2
38,IDIvNKVMivOfZJvp.png,0,2
39,IDnDocH4j66X827bg.png,0,4
40,IDElYGoL76VgCsWA.png,2,0
41,IDuWLFyy.png,0,15
42,ID4vm5iBp5hX.png,0,2
43,IDVcrzngAco.png,1,0
44,IDVA7EXpfZfFA.png,1,0
45,IDgV775HYQ0GK.png,0,1
46,ID6g6IV.png,0,2
47,IDRbXuBfisV.png,0,1
48,IDWlHU0RnZN8VmtM8.png,0,1
49,IDQ7Ox5bQv6Y.png,0,1
50,ID66HAzclmqcSLv5d.png,1,4
51,IDBaMmD.png,0,2
52,IDnsBaOjSxOK7gD.png,0,1
53,IDi6SfePuw.png,0,2
54,IDv56h22H.png,0,1
55,ID5mCpzu9V.png,0,4
56,IDHsCLnc.png,0,4
57,ID1Xl0vuApYXm.png,0,300
58,IDcYKE8mXznfW.png,1,0
59,IDmD5IZ1p.png,2,0
60,IDnm3No2UFVZA7P.png,0,3
61,IDdOI4dX.png,0,1
62,IDrsxMkNDhZl2z.png,0,1
63,IDMaFPMn4yM.png,2,0
64,IDKmQ01e6E.png,0,1
65,IDXbm81DLM9.png,2,0
66,IDTSop3.png,0,1
67,ID020cu0z.png,1,2
68,IDvVcJVfzneInnZnt.png,0,3
69,IDLwzQqfgb89eyD.png,0,2
70,IDBCq9ooKssih.png,3,0
71,IDtNU1NCLNV.png,0,1
72,IDLndUdrCPIH.png,0,2
73,IDASlPgfHqhSEFF.png,0,2
74,IDk9te2QR.png,0,1
75,IDGwnbgzud6NX.png,0,1
76,IDDPTIqiw2reu5YLw.png,0,3
77,IDTucPY48G.png,0,1
78,ID5hBfHW33pIb77U.png,2,0
79,IDR5N4WNzrp.png,0,3
80,IDNIb90jPjT4.png,0,1
81,IDvAkqK6nbGf5.png,0,2
82,IDCxuzH42m09UjIdo.png,0,4
83,IDvWnpmWyCRDG.png,0,1
